Price Max,Duration,API-Service,API-Doctor,Formula,Formula Price,API-Category,API-ID,API-Name,API-Name 1,Created time,Last edited time,ID,Name,Category,Price Min,Services,Выполняют
,15,Повторная консультация (в течение 10 дней),800,Консультация 800,800,https://www.notion.so/04d3b83761aa40c7a1a4f0188fac369f,ecaa4f0ef6a844abbfde945642ab4972,,,"February 12, 2023 4:44 AM","February 24, 2023 7:58 AM",No,Повторная консультация (в течение 10 дней),Урология,800,Консультация (https://www.notion.so/581bc9df574c4d07b1430eeec32fa5b8?pvs=21),"https://www.notion.so/095f5586c3674df89013a69e810993db, https://www.notion.so/325c665134974e9e952c6ef248782f11, https://www.notion.so/98edc27ee15c4402bc268f50d9e7267f"
,,УЗИ мочевого пузыря + остаточной мочи + простаты,1300,УЗИ мочевого пузыря + остаточной мочи + простаты 1300,1300,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,77469a9733bb46658ca5bb7a3a704c33,,,"February 12, 2023 4:57 AM","February 12, 2023 4:58 AM",No,УЗИ мочевого пузыря + остаточной мочи + простаты,Урология,1300,УЗИ мочевого пузыря + остаточной мочи + простаты (https://www.notion.so/e587ec1bf40948c48809f157fca57428?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,УЗИ мочевого пузыря + остаточной мочи,1000,УЗИ мочевого пузыря + остаточной мочи 1000,1000,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,797e7ca151b44da5818f08683b49305c,,,"February 12, 2023 4:57 AM","February 12, 2023 4:58 AM",No,УЗИ мочевого пузыря + остаточной мочи,Урология,1000,УЗИ мочевого пузыря + остаточной мочи (https://www.notion.so/0cc401ea63ec42b4a0e4e61637a3e450?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,УЗИ почек+мочевого пузыря + простаты + определение остаточной мочи,2300,УЗИ почек+мочевого пузыря + простаты + определение остаточной мочи 2300,2300,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,3d3a9a1eed7e4733aba1fcff28f9bc1c,,,"February 12, 2023 4:57 AM","February 12, 2023 4:59 AM",No,УЗИ почек+мочевого пузыря + простаты + определение остаточной мочи,Урология,2300,УЗИ почек+мочевого пузыря + простаты + определение остаточной мочи (https://www.notion.so/fb865e804bd9455284415a9d40b89989?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,УЗИ органов мошонки с допплеровским исследованием сосудов,2000,УЗИ органов мошонки с допплеровским исследованием сосудов 2000,2000,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,725d5e9415ec49739399eea340aa48ae,,,"February 12, 2023 4:57 AM","February 12, 2023 4:59 AM",No,УЗИ органов мошонки с допплеровским исследованием сосудов,Урология,2000,УЗИ органов мошонки с допплеровским исследованием сосудов (https://www.notion.so/8b90c77818dd4589acb26e1292ff7f63?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,Замена нефростомы (Без нефростомического дренажа),5000,Замена нефростомы (Без нефростомического дренажа) 5000,5000,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,5bcccbf33cc44024ae23c2c999c7802d,,,"February 12, 2023 4:57 AM","February 12, 2023 4:59 AM",No,Замена нефростомы (Без нефростомического дренажа),Урология,5000,Замена нефростомы (Без нефростомического дренажа) (https://www.notion.so/34a8a56ab14d43b2854bc2b0b7810af6?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,Замена цистостомы,1200,Замена цистостомы 1200,1200,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,04ab61c087064d82ac8f79391bfc0c7d,,,"February 12, 2023 4:57 AM","February 12, 2023 5:00 AM",No,Замена цистостомы,Урология,1200,Замена цистостомы (https://www.notion.so/30359087d5434a7fa1b2d6a203b73b63?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,Инстилляции мочевого пузыря - муж.,1600,Инстилляции мочевого пузыря 1600,1600,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,f2e2a04fc99d44e4a5ddcdbe5dd73e40,,,"February 12, 2023 4:57 AM","February 12, 2023 5:01 AM",No,Инстилляции мочевого пузыря - муж.,Урология,1600,Инстилляции мочевого пузыря (https://www.notion.so/86fa8680fecc49cf9097807bd54ed067?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,Инстилляции мочевого пузыря - жен.,1500,Инстилляции мочевого пузыря 1500,1500,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,f1c72c4d0dd045bf98b00a414c7715b6,,,"February 12, 2023 5:00 AM","February 12, 2023 5:01 AM",No,Инстилляции мочевого пузыря - жен.,Урология,1500,Инстилляции мочевого пузыря (https://www.notion.so/86fa8680fecc49cf9097807bd54ed067?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
,,Операция при болезни Пейрони,80000,Операция при болезни Пейрони 80000,80000,https://www.notion.so/610ce1c07d3a4bbaad3e076332aa2e23,d4a334e16b90454ebef1dedf3e35592b,,,"February 12, 2023 5:00 AM","February 12, 2023 5:02 AM",No,Операция при болезни Пейрони,Урология,80000,Операция при болезни Пейрони (https://www.notion.so/05a8af86c8e844a48bef3d9231fbf0f8?pvs=21),https://www.notion.so/34cbd518f4304d4da0a594c2555b2289
